Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Kake Da Dhaba,2,0.0,2,1.0
KC Bakers,2,1.6,14,7.0
Jyoti Sweets,2,0.0,0,0.0
First Eat,2,3.8,219,109.5
Firangi Bake,2,0.0,0,0.0
Fat Lulu's,2,3.75,319,159.5
Fast Trax,2,3.3,207,103.5
Fabulous Cake Bites,2,3.5,67,33.5
Faaso's,2,1.8,34,17.0
Evergreen Sweets,2,2.7,30,15.0
Essen Foods,2,0.0,1,0.5
Embassy,2,3.25,832,416.0
Eggers Madhouse,2,3.85,698,349.0
Khalsa Veg Corner,2,3.25,32,16.0
Kesarwa Bakez,2,0.0,3,1.5
Kebab Gali,2,3.9,544,272.0
Kaveri Restaurant And Caterers,2,3.7,472,236.0
Dunkin Donuts,2,4.0,188,94.0
Druk,2,3.45,75,37.5
Drool Waffles,2,3.65,237,118.5
Drifters Cafe,2,4.0,248,124.0
Dosa Plaza,2,1.6,15,7.5
Dishoom,2,4.6,1269,634.5
Din Tai Fung,2,4.35,997,498.5
Dilli Rasoi,2,1.6,31,15.5
Dilli Light,2,1.3,16,8.0
Dilli BC,2,4.25,351,175.5
Kati Roll Cottage,2,3.6,53,26.5
Kanha Sweets,2,3.45,164,82.0
Le Chef,2,3.15,140,70.0
Lazeez Restaurant,2,1.5,12,6.0
Laxmi Ice Cream,2,3.55,118,59.0
Lasha Chinese Food,2,0.0,3,1.5
La Americana,2,3.65,180,90.0
Kumar Pastry Shop,2,3.25,79,39.5
Kulcha King,2,1.9,170,85.0
Koyla Kebab,2,3.35,141,70.5
Konetto Pizza,2,1.75,32,16.0
Kolkata Kathi Roll,2,3.1,106,53.0
Kolkata Hot Kathi Roll,2,2.95,56,28.0
Kolkata Biryani House,2,3.1,513,256.5
Kitchen King,2,1.3,55,27.5
Khidmat,2,3.5,741,370.5
Khana Khazana,2,1.85,281,140.5
Khan Chicken Biryani,2,2.9,23,11.5
Dabba Meat,2,3.25,224,112.0
Da Pizza Zone,2,0.0,2,1.0
D Food,2,0.0,3,1.5
Mahi Rasoi,2,1.3,34,17.0
Magic Masala,2,1.5,12,6.0
Maggi Point,2,0.0,2,1.0
Madras Dosa & Chinese,2,1.35,91,45.5
Madras Coffee House,2,1.5,5,2.5
Madhuvan Chinese Fast Food,2,2.6,84,42.0
Made In Punjab,2,4.05,1917,958.5
MR.D - Deliciousness Delivered,2,3.4,515,257.5
