Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Pasta Hub,2,3.05,23,11.5
Chinese Food,3,2.0,21,7.0
Garden Hut,2,2.9,21,10.5
Chinese Food Corner,3,0.83,20,6.67
Super Cake Shop,4,2.05,20,5.0
Syall Kotian Da Dhaba,2,1.5,20,10.0
Green Chilli,2,1.4,19,9.5
Biryani Vice,2,1.8,19,9.5
Mr. Momo,2,1.35,19,9.5
U Like,2,1.5,19,9.5
Royale Bakers,2,1.4,18,9.0
Tandoori Tadka,2,1.65,18,9.0
Dolce Gelato,7,0.89,18,2.57
Chai Mantra,2,1.6,18,9.0
Puja Sandwich House,2,1.35,17,8.5
The Pirates Of China Town,2,1.6,17,8.5
Dilli Light,2,1.3,16,8.0
Hunger's Hub,2,1.55,16,8.0
Zaika Kathi Rolls,2,1.5,16,8.0
Food Factory,2,1.5,15,7.5
Dosa Plaza,2,1.6,15,7.5
Snack Shack,2,1.35,15,7.5
Chennai Express,2,1.6,15,7.5
Bakingo,2,2.85,15,7.5
Bikaner's,2,2.65,15,7.5
Balaji Dhaba,2,1.35,14,7.0
Rolling Beans,2,2.8,14,7.0
Roll Corner,2,1.65,14,7.0
Wild Chef House,2,1.55,14,7.0
Choco Kraft,2,1.6,14,7.0
KC Bakers,2,1.6,14,7.0
Tandoori Junction,2,1.2,13,6.5
Amar Bakery,2,1.65,13,6.5
Pastry Palace,2,1.6,13,6.5
Brown Town,2,1.35,13,6.5
Magic Masala,2,1.5,12,6.0
Lazeez Restaurant,2,1.5,12,6.0
Aggarwal Bikaneri Sweets,2,1.45,11,5.5
Yo! Dimsum,2,1.5,11,5.5
Chauhan Hotel,2,1.45,11,5.5
Yomo-Your Only Momo Outlet,2,3.0,11,5.5
The Taste,2,3.05,11,5.5
Bikaner Sweets & Restaurant,6,0.52,11,1.83
Ankur Family Restaurant,2,2.85,11,5.5
Aggarwal Sweets & Restaurant,2,1.35,11,5.5
Chai Thela,2,1.55,11,5.5
Joost Juice Bar,3,1.07,10,3.33
Mx Corn,4,0.78,10,2.5
Adarsh Kulfi,2,1.5,10,5.0
Grover Sweets,2,1.55,10,5.0
Aggarwal Bikaner Sweets,3,1.0,10,3.33
Chai Garam,4,0.72,9,2.25
Shalimar Vyanjan,2,1.5,9,4.5
The Chaiwalas,3,0.97,9,3.0
Delhi Biryani Hut,2,1.35,9,4.5
The Roll Van,2,2.95,9,4.5
Al Zaika,2,1.45,9,4.5
Mogambo Kitchen,2,1.55,9,4.5
6 Pack Momos,2,1.4,8,4.0
Flavors Of London,2,1.5,8,4.0
BonJuz,2,1.55,8,4.0
Delight Express,2,1.45,8,4.0
Rasoi,2,1.5,7,3.5
Pizza Hub,3,0.0,7,2.33
Baba Chicken Ludhiana Wale,2,1.55,7,3.5
Night Food Delivery,2,1.35,7,3.5
Jain Restaurant,2,1.5,7,3.5
Desi Tadka,2,1.5,6,3.0
Aggarwal Sweet Centre,3,0.0,6,2.0
Mother's Kitchen,2,1.45,6,3.0
Radha Swami Shudh Vaishno Dhaba,3,0.0,6,2.0
Kwality Wall's Swirl's,4,0.75,6,1.5
Cafe Buddy's,2,1.45,6,3.0
Pandit Ji Ki Apni Rasoi,2,1.2,6,3.0
Aggarwal Sweet & Bakers,2,1.45,5,2.5
Aggarwal Sweets Centre,2,1.45,5,2.5
Amul Ice-Cream Parlour,3,1.0,5,1.67
Kettle & Kegs,5,0.0,5,1.0
VadaPav 'n' Frankie,2,1.5,5,2.5
Snacks Point,2,1.45,5,2.5
Madras Coffee House,2,1.5,5,2.5
Meatwale.com,4,0.0,4,1.0
Dana Pani,2,1.4,4,2.0
Pizza Day,2,0.0,4,2.0
Fresh Meat CO,2,1.45,4,2.0
Hot & Spicy,2,1.45,4,2.0
Flavours Kitchen,2,0.0,3,1.5
Singh Chicken,2,0.0,3,1.5
Biryani Bot,2,0.0,3,1.5
Kesarwa Bakez,2,0.0,3,1.5
Chilli Tadka,2,0.0,3,1.5
Riyaz Biryani Corner,3,0.0,3,1.0
D Food,2,0.0,3,1.5
Lasha Chinese Food,2,0.0,3,1.5
Punjabi Chicken,2,0.0,3,1.5
Anand Sweets,2,0.0,3,1.5
Golden Bakery,2,0.0,2,1.0
Yadav Sweets,2,0.0,2,1.0
Maggi Point,2,0.0,2,1.0
Rasoi - The Indian Zaika,2,0.0,2,1.0
OCD - Online Cake Delivery,2,0.0,2,1.0
Kake Da Dhaba,2,0.0,2,1.0
