Cuisines,Restaurant_Count,Average_Rating
"North Indian, Chinese, Italian, American, Middle Eastern",1,4.2
"International, Southern, Vegetarian",1,4.2
"Asian, Japanese, Sushi",1,4.2
"North Indian, Italian, Continental, Asian",1,4.2
"Cafe, Continental, Italian, Chinese, North Indian",1,4.2
"North Indian, Continental, South Indian, Chinese, Thai, Asian",1,4.2
"Chinese, Thai, Tibetan",1,4.2
"American, Fast Food, Steak, Beverages",1,4.2
"Western, Asian, Cafe",1,4.2
"African, Portuguese",1,4.2
"Chinese, Sushi, Thai",1,4.2
"Continental, Asian",1,4.2
"Continental, American, Seafood",1,4.2
"American, Mexican, Finger Food",1,4.2
"Asian, Chinese, Thai, Vietnamese",1,4.2
"Goan, Seafood, Chinese",1,4.2
"Arabian, Middle Eastern",1,4.2
"Seafood, Steak, Vegetarian",1,4.2
"Seafood, South Indian, Andhra, Hyderabadi, Goan",1,4.2
"Greek, Mediterranean, Vegetarian",1,4.2
"Greek, Lebanese",1,4.2
"Parsi, North Indian",1,4.2
"Sushi, Japanese",2,4.2
"American, Ice Cream, Desserts",1,4.2
"American, European, Sandwich",1,4.2
"American, European",1,4.2
"Seafood, Filipino, Asian, European",1,4.2
"Restaurant Cafe, Desserts",1,4.2
"Restaurant Cafe, Turkish, Desserts",1,4.2
"European, Italian, Desserts",1,4.2
"European, Italian, Mediterranean",1,4.2
"European, Lebanese, Mediterranean",1,4.2
"European, Mediterranean, Contemporary",1,4.2
"European, Desserts",2,4.2
"European, Continental, Pizza",1,4.2
"Pakistani, Indian, Mughlai",1,4.2
"North Indian, Continental, European, American, Mediterranean",1,4.2
"Mexican, American, Italian",2,4.199999999999999
"Cafe, Continental, Chinese, Italian",2,4.199999999999999
Steak,7,4.185714285714286
French,7,4.185714285714286
"American, Pizza, Bar Food",3,4.166666666666667
"Asian, Thai, Chinese",3,4.166666666666667
German,3,4.166666666666667
"Cafe, Bakery, Desserts",6,4.166666666666667
"Indian, North Indian, Chinese",2,4.15
"Mediterranean, Italian, European",2,4.15
"Italian, Continental, Cafe",2,4.15
"Seafood, Sushi",2,4.15
"Continental, American, Asian, North Indian",4,4.15
"Cafe, Italian, Continental",6,4.1499999999999995
"Pizza, Sandwich",5,4.14
"Italian, Mediterranean, Pizza",3,4.133333333333333
Seafood,14,4.114285714285715
"Japanese, Korean",3,4.1000000000000005
"Chinese, Thai, Japanese",3,4.1000000000000005
Thai,16,4.1
"Italian, Mediterranean, Sushi, Desserts",1,4.1
"Italian, Mediterranean, Continental, North Indian",2,4.1
"Mexican, Spanish",1,4.1
"Bengali, Seafood",2,4.1
"Latin American, Steak",1,4.1
"Chinese, Continental, North Indian, Mexican",1,4.1
"British, Scottish, Seafood",1,4.1
